Product Id,Brand,Model,Category,Price
P0001,Adidas,Ultraboost 21,Running Shoe,190
P0002,Adidas,NMD R1,Running Shoe,145
P0003,Adidas,Yeezy Boost 350 V2,Lifestyle Shoe,235
P0004,Adidas,Superstar,Lifestyle Shoe,92.5
P0005,Adidas,Stan Smith,Lifestyle Shoe,95
P0006,Asics,Gel-Kayano 27,Running Shoe,165
P0007,Asics,Gel-Nimbus 23,Running Shoe,155
P0008,Asics,Gel-Venture 7,Trail Running Shoe,75
P0009,Asics,GT-2000 9,Running Shoe,125
P0010,Asics,Gel-Quantum 360,Running Shoe,160
P0011,New Balance,Balance 990v5,Running Shoe,180
P0012,New Balance,Balance 574,Lifestyle Shoe,90
P0013,New Balance,Balance 327,Lifestyle Shoe,105
P0014,New Balance,Balance 1080v11,Running Shoe,155
P0015,New Balance,Fresh Foam Roav,Running Shoe,92.5
P0016,Nike,Air Force 1,Basketball Shoe,120
P0017,Nike,Lebron Black,Basketball Shoe,180
P0018,Nike,SB Low Brown,Skateboarding Shoe,130
P0019,Nike,BRSB,Skateboarding Shoe,97.5
P0020,Nike,Dunk Low,Skateboarding Shoe,110
P0021,Nike,Lebron XXL,Basketball Shoe,180
P0022,Nike,Metcon 5,Training Shoe,140
P0023,Nike,Metcon 9,Training Shoe,140
P0024,Nike,Nike Blazer,Skateboarding Shoe,105
P0025,Nike,Dunk Low Red,Skateboarding Shoe,110
P0026,Nike,Slides,Casual Footwear,37.5
P0027,Nike,Dunk Low Yellow,Skateboarding Shoe,110
P0028,Puma,RS-X,Lifestyle Shoe,115
P0029,Puma,Suede Classic,Lifestyle Shoe,70
P0030,Puma,Future Rider,Lifestyle Shoe,85
P0031,Puma,Cali,Lifestyle Shoe,85
P0032,Puma,Roma,Lifestyle Shoe,65
P0033,Reebok,Club C 85,Lifestyle Shoe,75
P0034,Reebok,Classic Leather,Lifestyle Shoe,80
P0035,Reebok,Nano X1,Training Shoe,135
P0036,Reebok,Zig Kinetica,Running Shoe,125
P0037,Reebok,Floatride Run,Running Shoe,145
